timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1000,100,1,0,28,2,0,1,5
1100,0.100,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1001,100,1,1,28,3,0,1,5
1200,0.200,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1002,100,1,0,28,2,0,1,5
1300,0.300,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1003,100,1,1,28,3,0,1,5
1400,0.400,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1004,100,1,0,28,2,0,1,5
1500,0.500,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1005,100,1,1,28,3,0,1,5
1600,0.600,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1006,100,1,0,28,2,0,1,5
1700,0.700,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1007,100,1,1,28,3,0,1,5
1800,0.800,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1008,100,1,0,28,2,0,1,5
1900,0.900,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1009,100,1,1,28,3,0,1,5
2000,1.000,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1010,100,1,0,28,2,0,1,5
2100,1.100,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1011,100,1,1,28,3,0,1,5
2200,1.200,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1012,100,1,0,28,2,0,1,5
2300,1.300,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1013,100,1,1,28,3,0,1,5
2400,1.400,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1014,100,1,0,28,2,0,1,5
2500,1.500,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1015,100,1,1,28,3,0,1,5
2600,1.600,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1016,100,1,0,28,2,0,1,5
2700,1.700,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1017,100,1,1,28,3,0,1,5
