timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1000,1000,0,0,0,2,0,0,1000
1100,0.100,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1001,1000,0,1,0,3,0,0,1000
1200,0.200,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1002,1000,0,0,0,2,0,0,1000
1300,0.300,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1003,1000,0,1,0,3,0,0,1000
1400,0.400,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1004,1000,0,0,0,2,0,0,1000
1500,0.500,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1005,1000,0,1,0,3,0,0,1000
1600,0.600,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1006,1000,0,0,0,2,0,0,1000
1700,0.700,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1007,1000,0,1,0,3,0,0,1000
1800,0.800,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1008,1000,0,0,0,2,0,0,1000
1900,0.900,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1009,1000,0,1,0,3,0,0,1000
2000,1.000,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1010,1000,0,0,0,2,0,0,1000
2100,1.100,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1011,1000,0,1,0,3,0,0,1000
2200,1.200,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1012,1000,0,0,0,2,0,0,1000
2300,1.300,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1013,1000,0,1,0,3,0,0,1000
2400,1.400,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1014,1000,0,0,0,2,0,0,1000
2500,1.500,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1015,1000,0,1,0,3,0,0,1000
2600,1.600,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1016,1000,0,0,0,2,0,0,1000
2700,1.700,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1017,1000,0,1,0,3,0,0,1000
