timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1000,100,0,0,12,2,0,1,5
1100,0.100,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1001,100,0,1,13,3,0,1,5
1200,0.200,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1002,100,0,0,14,2,0,1,5
1300,0.300,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1003,100,0,1,12,3,0,1,5
1400,0.400,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1004,100,0,0,13,2,0,1,5
1500,0.500,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1005,100,0,1,14,3,0,1,5
1600,0.600,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1006,100,0,0,12,2,0,1,5
1700,0.700,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1007,100,0,1,13,3,0,1,5
1800,0.800,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1008,100,0,0,14,2,0,1,5
1900,0.900,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1009,100,0,1,12,3,0,1,5
2000,1.000,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1010,100,0,0,13,2,0,1,5
2100,1.100,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1011,100,0,1,14,3,0,1,5
2200,1.200,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1012,100,0,0,12,2,0,1,5
2300,1.300,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1013,100,0,1,13,3,0,1,5
2400,1.400,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1014,100,0,0,14,2,0,1,5
2500,1.500,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1015,100,0,1,12,3,0,1,5
2600,1.600,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1016,100,0,0,13,2,0,1,5
2700,1.700,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1017,100,0,1,14,3,0,1,5
