timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1000,100,0,8,12,2,3,1,5
1100,0.100,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1001,100,0,9,13,3,4,1,5
1200,0.200,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1002,100,0,10,14,2,5,1,5
1300,0.300,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1003,100,0,11,12,3,3,1,5
1400,0.400,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1004,100,0,12,13,2,4,1,5
1500,0.500,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1005,100,0,13,14,3,5,1,5
1600,0.600,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1006,100,0,14,12,2,3,1,5
1700,0.700,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1007,100,0,15,13,3,4,1,5
1800,0.800,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1008,100,0,16,14,2,5,1,5
1900,0.900,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1009,100,0,17,12,3,3,1,5
2000,1.000,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1010,100,0,18,13,2,4,1,5
2100,1.100,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1011,100,0,19,14,3,5,1,5
2200,1.200,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1012,100,0,20,12,2,3,1,5
2300,1.300,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1013,100,0,21,13,3,4,1,5
2400,1.400,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1014,100,0,22,14,2,5,1,5
2500,1.500,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1015,100,0,23,12,3,3,1,5
2600,1.600,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1016,100,0,24,13,2,4,1,5
2700,1.700,packet_loss_run_003,porter_dev,esp32_expert,1,packet_loss,esp32,3,1017,100,0,25,14,3,5,1,5
