timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1000,100,0,0,65,24,0,1,5
1100,0.100,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1001,100,0,1,66,24,0,1,5
1200,0.200,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1002,100,0,0,67,24,0,1,5
1300,0.300,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1003,100,0,1,68,24,0,1,5
1400,0.400,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1004,100,0,0,69,24,0,1,5
1500,0.500,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1005,100,0,1,70,24,0,1,5
1600,0.600,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1006,100,0,0,71,24,0,1,5
1700,0.700,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1007,100,0,1,72,24,0,1,5
1800,0.800,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1008,100,0,0,73,24,0,1,5
1900,0.900,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1009,100,0,1,74,24,0,1,5
2000,1.000,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1010,100,0,0,75,24,0,1,5
2100,1.100,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1011,100,0,1,76,24,0,1,5
2200,1.200,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1012,100,0,0,77,24,0,1,5
2300,1.300,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1013,100,0,1,78,24,0,1,5
2400,1.400,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1014,100,0,0,79,24,0,1,5
2500,1.500,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1015,100,0,1,80,24,0,1,5
2600,1.600,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1016,100,0,0,81,24,0,1,5
2700,1.700,task_overrun_run_006,porter_dev,esp32_expert,1,task_overrun,esp32,3,1017,100,0,1,82,24,0,1,5
