timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms
1000,0.000,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1000,100,1,0,12,2,0,1,5
1100,0.100,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1001,100,1,1,13,3,0,1,5
1200,0.200,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1002,100,1,0,14,2,0,1,5
1300,0.300,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1003,100,1,1,12,3,0,1,5
1400,0.400,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1004,100,1,0,13,2,0,1,5
1500,0.500,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1005,100,1,1,14,3,0,1,5
1600,0.600,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1006,100,2,0,12,2,0,1,5
1700,0.700,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1007,100,2,1,13,3,0,1,5
1800,0.800,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1008,100,2,0,14,2,0,1,5
1900,0.900,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1009,100,2,1,12,3,0,1,5
2000,1.000,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1010,100,2,0,13,2,0,1,5
2100,1.100,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1011,100,2,1,14,3,0,1,5
2200,1.200,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1012,100,3,0,12,2,0,1,5
2300,1.300,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1013,100,3,1,13,3,0,1,5
2400,1.400,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1014,100,3,0,14,2,0,1,5
2500,1.500,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1015,100,3,1,12,3,0,1,5
2600,1.600,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1016,100,3,0,13,2,0,1,5
2700,1.700,watchdog_reset_run_004,porter_dev,esp32_expert,1,watchdog_reset,esp32,1,1017,100,3,1,14,3,0,1,5
