timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.420,5.050,250,36.00,0,1,6
1100,0.100,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.430,5.050,250,36.10,0,1,6
1200,0.200,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.440,5.050,250,36.20,0,1,6
1300,0.300,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.450,5.050,250,36.30,0,1,6
1400,0.400,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.420,5.050,250,36.40,0,1,6
1500,0.500,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.430,5.050,250,36.50,0,1,6
1600,0.600,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.440,5.050,250,36.60,0,1,6
1700,0.700,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.450,5.050,250,36.70,0,1,6
1800,0.800,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.420,5.050,250,36.80,0,1,6
1900,0.900,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.430,5.050,250,36.90,0,1,6
2000,1.000,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.440,5.050,250,37.00,0,1,6
2100,1.100,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.450,5.050,250,37.10,0,1,6
2200,1.200,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.420,5.050,250,37.20,0,1,6
2300,1.300,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.430,5.050,250,37.30,0,1,6
2400,1.400,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.440,5.050,250,37.40,0,1,6
2500,1.500,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.450,5.050,250,37.50,0,1,6
2600,1.600,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.420,5.050,250,37.60,0,1,6
2700,1.700,brightness_mismatch_run_003,porter_dev,lighting_expert,1,brightness_mismatch,lighting,3,180,0.430,5.050,250,37.70,0,1,6
