timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,620,36.00,0,1,6
1100,0.100,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,622,36.10,0,1,6
1200,0.200,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.440,5.050,624,36.20,0,1,6
1300,0.300,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.450,5.050,626,36.30,0,1,6
1400,0.400,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,628,36.40,0,1,6
1500,0.500,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,630,36.50,0,1,6
1600,0.600,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.440,5.050,632,36.60,0,1,6
1700,0.700,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.450,5.050,634,36.70,0,1,6
1800,0.800,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,636,36.80,0,1,6
1900,0.900,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,638,36.90,0,1,6
2000,1.000,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.440,5.050,640,37.00,0,1,6
2100,1.100,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.450,5.050,642,37.10,0,1,6
2200,1.200,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,644,37.20,0,1,6
2300,1.300,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,646,37.30,0,1,6
2400,1.400,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.440,5.050,648,37.40,0,1,6
2500,1.500,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.450,5.050,650,37.50,0,1,6
2600,1.600,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.420,5.050,652,37.60,0,1,6
2700,1.700,healthy_run_001,porter_dev,lighting_expert,0,healthy,lighting,0,180,0.430,5.050,654,37.70,0,1,6
