timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.00,0,1,6
1100,0.100,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.10,0,1,6
1200,0.200,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.20,0,1,6
1300,0.300,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.30,0,1,6
1400,0.400,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.40,0,1,6
1500,0.500,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.50,0,1,6
1600,0.600,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.60,0,1,6
1700,0.700,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.70,0,1,6
1800,0.800,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.80,0,1,6
1900,0.900,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,36.90,0,1,6
2000,1.000,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.00,0,1,6
2100,1.100,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.10,0,1,6
2200,1.200,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.20,0,1,6
2300,1.300,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.30,0,1,6
2400,1.400,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.40,0,1,6
2500,1.500,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.50,0,1,6
2600,1.600,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.60,0,1,6
2700,1.700,led_disconnected_run_002,porter_dev,lighting_expert,1,led_disconnected,lighting,2,180,0.050,5.050,20,37.70,0,1,6
