timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,620,36.00,1,0,180
1100,0.100,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,622,36.10,1,0,180
1200,0.200,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,624,36.20,1,0,180
1300,0.300,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,626,36.30,1,0,180
1400,0.400,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,628,36.40,1,0,180
1500,0.500,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,630,36.50,1,0,180
1600,0.600,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,632,36.60,1,0,180
1700,0.700,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,634,36.70,1,0,180
1800,0.800,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,636,36.80,1,0,180
1900,0.900,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,638,36.90,1,0,180
2000,1.000,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,640,37.00,1,0,180
2100,1.100,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,642,37.10,1,0,180
2200,1.200,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,644,37.20,1,0,180
2300,1.300,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,646,37.30,1,0,180
2400,1.400,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.440,5.050,648,37.40,1,0,180
2500,1.500,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.450,5.050,650,37.50,1,0,180
2600,1.600,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.420,5.050,652,37.60,1,0,180
2700,1.700,light_driver_fault_run_004,porter_dev,lighting_expert,1,light_driver_fault,lighting,1,180,0.430,5.050,654,37.70,1,0,180
