timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,620,62.00,0,1,6
1100,0.100,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,622,62.10,0,1,6
1200,0.200,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,624,62.20,0,1,6
1300,0.300,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,626,62.30,0,1,6
1400,0.400,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,628,62.40,0,1,6
1500,0.500,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,630,62.50,0,1,6
1600,0.600,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,632,62.60,0,1,6
1700,0.700,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,634,62.70,0,1,6
1800,0.800,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,636,62.80,0,1,6
1900,0.900,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,638,62.90,0,1,6
2000,1.000,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,640,63.00,0,1,6
2100,1.100,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,642,63.10,0,1,6
2200,1.200,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,644,63.20,0,1,6
2300,1.300,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,646,63.30,0,1,6
2400,1.400,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,648,63.40,0,1,6
2500,1.500,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,650,63.50,0,1,6
2600,1.600,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,652,63.60,0,1,6
2700,1.700,lighting_overcurrent_run_005,porter_dev,lighting_expert,1,lighting_overcurrent,lighting,2,180,1.250,5.050,654,63.70,0,1,6
