timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,brightness_command,light_current_a,light_voltage_v,light_sensor_lux,light_driver_temp_c,light_fault_gpio,telemetry_valid,telemetry_age_ms
1000,0.000,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,620,36.00,1,1,6
1100,0.100,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,622,36.10,1,1,6
1200,0.200,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,624,36.20,1,1,6
1300,0.300,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,626,36.30,1,1,6
1400,0.400,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,628,36.40,1,1,6
1500,0.500,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,630,36.50,1,1,6
1600,0.600,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,632,36.60,1,1,6
1700,0.700,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,634,36.70,1,1,6
1800,0.800,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,636,36.80,1,1,6
1900,0.900,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,638,36.90,1,1,6
2000,1.000,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,640,37.00,1,1,6
2100,1.100,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,642,37.10,1,1,6
2200,1.200,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,644,37.20,1,1,6
2300,1.300,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,646,37.30,1,1,6
2400,1.400,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,648,37.40,1,1,6
2500,1.500,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,650,37.50,1,1,6
2600,1.600,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,652,37.60,1,1,6
2700,1.700,lighting_short_suspected_run_006,porter_dev,lighting_expert,1,lighting_short_suspected,lighting,3,180,1.800,3.100,654,37.70,1,1,6
