timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,heartbeat_counter,heartbeat_interval_ms,watchdog_count,packet_error_count,task_loop_time_ms,control_loop_jitter_ms,uart_rx_errors,telemetry_valid,telemetry_age_ms,source_file
1000,0.000,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1000,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1100,0.100,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1001,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1200,0.200,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1002,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1300,0.300,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1003,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1400,0.400,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1004,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1500,0.500,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1005,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1600,0.600,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1006,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1700,0.700,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1007,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1800,0.800,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1008,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1900,0.900,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1009,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2000,1.000,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1010,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2100,1.100,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1011,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2200,1.200,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1012,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2300,1.300,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1013,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2400,1.400,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1014,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2500,1.500,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1015,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2600,1.600,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1016,100,1,0,28,2,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
2700,1.700,brownout_reset_run_005,porter_dev,esp32_expert,1,brownout_reset,esp32,2,1017,100,1,1,28,3,0,1,5,ai_ml/datasets/esp32_expert/raw/brownout_reset_run_005.csv
1000,0.000,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1000,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1100,0.100,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1001,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1200,0.200,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1002,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1300,0.300,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1003,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1400,0.400,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1004,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1500,0.500,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1005,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1600,0.600,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1006,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1700,0.700,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1007,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1800,0.800,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1008,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1900,0.900,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1009,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2000,1.000,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1010,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2100,1.100,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1011,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2200,1.200,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1012,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2300,1.300,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1013,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2400,1.400,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1014,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2500,1.500,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1015,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2600,1.600,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1016,1000,0,0,0,2,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
2700,1.700,firmware_freeze_run_007,porter_dev,esp32_expert,1,firmware_freeze,esp32,1,1017,1000,0,1,0,3,0,0,1000,ai_ml/datasets/esp32_expert/raw/firmware_freeze_run_007.csv
1000,0.000,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1000,100,0,0,12,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1100,0.100,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1001,100,0,1,13,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1200,0.200,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1002,100,0,0,14,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1300,0.300,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1003,100,0,1,12,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1400,0.400,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1004,100,0,0,13,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1500,0.500,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1005,100,0,1,14,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1600,0.600,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1006,100,0,0,12,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1700,0.700,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1007,100,0,1,13,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1800,0.800,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1008,100,0,0,14,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1900,0.900,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1009,100,0,1,12,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2000,1.000,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1010,100,0,0,13,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2100,1.100,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1011,100,0,1,14,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2200,1.200,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1012,100,0,0,12,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2300,1.300,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1013,100,0,1,13,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2400,1.400,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1014,100,0,0,14,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2500,1.500,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1015,100,0,1,12,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2600,1.600,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1016,100,0,0,13,2,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
2700,1.700,healthy_run_001,porter_dev,esp32_expert,0,healthy,esp32,0,1017,100,0,1,14,3,0,1,5,ai_ml/datasets/esp32_expert/raw/healthy_run_001.csv
1000,0.000,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1000,750,0,0,12,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1100,0.100,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1001,750,0,1,13,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1200,0.200,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1002,750,0,0,14,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1300,0.300,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1003,750,0,1,12,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1400,0.400,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1004,750,0,0,13,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1500,0.500,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1005,750,0,1,14,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1600,0.600,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1006,750,0,0,12,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1700,0.700,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1007,750,0,1,13,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1800,0.800,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1008,750,0,0,14,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
1900,0.900,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1009,750,0,1,12,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2000,1.000,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1010,750,0,0,13,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2100,1.100,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1011,750,0,1,14,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2200,1.200,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1012,750,0,0,12,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2300,1.300,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1013,750,0,1,13,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2400,1.400,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1014,750,0,0,14,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2500,1.500,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1015,750,0,1,12,3,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
2600,1.600,heartbeat_lost_run_002,porter_dev,esp32_expert,1,heartbeat_lost,esp32,2,1016,750,0,0,13,2,0,0,750,ai_ml/datasets/esp32_expert/raw/heartbeat_lost_run_002.csv
