timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,driver_temp_left_c,driver_temp_right_c,driver_fault_left,driver_fault_right,driver_enable_left,driver_enable_right,current_left_a,current_right_a,battery_voltage_v,telemetry_valid,telemetry_age_ms,source_file
1000,0.000,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,120,120,39.00,39.50,0,0,0,0,1.200,1.250,12.400,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1100,0.100,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,121,121,39.10,39.60,0,0,0,0,1.230,1.280,12.395,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1200,0.200,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,122,122,39.20,39.70,0,0,0,0,1.260,1.310,12.390,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1300,0.300,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,123,123,39.30,39.80,0,0,0,0,1.290,1.340,12.385,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1400,0.400,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,120,120,39.40,39.90,0,0,0,0,1.200,1.250,12.380,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1500,0.500,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,121,121,39.50,40.00,0,0,0,0,1.230,1.280,12.375,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1600,0.600,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,122,122,39.60,40.10,0,0,0,0,1.260,1.310,12.370,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1700,0.700,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,123,123,39.70,40.20,0,0,0,0,1.290,1.340,12.365,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1800,0.800,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,120,120,39.80,40.30,0,0,0,0,1.200,1.250,12.360,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1900,0.900,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,121,121,39.90,40.40,0,0,0,0,1.230,1.280,12.355,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2000,1.000,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,122,122,40.00,40.50,0,0,0,0,1.260,1.310,12.350,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2100,1.100,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,123,123,40.10,40.60,0,0,0,0,1.290,1.340,12.345,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2200,1.200,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,120,120,40.20,40.70,0,0,0,0,1.200,1.250,12.340,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2300,1.300,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,121,121,40.30,40.80,0,0,0,0,1.230,1.280,12.335,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2400,1.400,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,122,122,40.40,40.90,0,0,0,0,1.260,1.310,12.330,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2500,1.500,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,123,123,40.50,41.00,0,0,0,0,1.290,1.340,12.325,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2600,1.600,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,120,120,40.60,41.10,0,0,0,0,1.200,1.250,12.320,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
2700,1.700,driver_disabled_run_004,porter_dev,motor_driver_expert,1,driver_disabled,motor_driver,1,121,121,40.70,41.20,0,0,0,0,1.230,1.280,12.315,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_disabled_run_004.csv
1000,0.000,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,120,120,39.00,39.50,1,0,1,1,1.200,1.250,12.400,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1100,0.100,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,121,121,39.10,39.60,1,1,1,1,1.230,1.280,12.395,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1200,0.200,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,122,122,39.20,39.70,1,0,1,1,1.260,1.310,12.390,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1300,0.300,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,123,123,39.30,39.80,1,1,1,1,1.290,1.340,12.385,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1400,0.400,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,120,120,39.40,39.90,1,0,1,1,1.200,1.250,12.380,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1500,0.500,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,121,121,39.50,40.00,1,1,1,1,1.230,1.280,12.375,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1600,0.600,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,122,122,39.60,40.10,1,0,1,1,1.260,1.310,12.370,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1700,0.700,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,123,123,39.70,40.20,1,1,1,1,1.290,1.340,12.365,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1800,0.800,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,120,120,39.80,40.30,1,0,1,1,1.200,1.250,12.360,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1900,0.900,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,121,121,39.90,40.40,1,1,1,1,1.230,1.280,12.355,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2000,1.000,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,122,122,40.00,40.50,1,0,1,1,1.260,1.310,12.350,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2100,1.100,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,123,123,40.10,40.60,1,1,1,1,1.290,1.340,12.345,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2200,1.200,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,120,120,40.20,40.70,1,0,1,1,1.200,1.250,12.340,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2300,1.300,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,121,121,40.30,40.80,1,1,1,1,1.230,1.280,12.335,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2400,1.400,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,122,122,40.40,40.90,1,0,1,1,1.260,1.310,12.330,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2500,1.500,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,123,123,40.50,41.00,1,1,1,1,1.290,1.340,12.325,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2600,1.600,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,120,120,40.60,41.10,1,0,1,1,1.200,1.250,12.320,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
2700,1.700,driver_fault_pin_active_run_005,porter_dev,motor_driver_expert,1,driver_fault_pin_active,motor_driver,2,121,121,40.70,41.20,1,1,1,1,1.230,1.280,12.315,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_fault_pin_active_run_005.csv
1000,0.000,driver_overcurrent_run_002,porter_dev,motor_driver_expert,1,driver_overcurrent,motor_driver,2,120,120,39.00,39.50,0,0,1,1,4.200,4.250,12.400,1,7,ai_ml/datasets/motor_driver_expert/raw/driver_overcurrent_run_002.csv
