timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w,source_file
1000,0.000,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.200,0.820,8.364,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1100,0.100,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.190,0.840,8.560,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1200,0.200,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.180,0.860,8.755,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1300,0.300,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.170,0.880,8.950,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1400,0.400,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.160,0.820,8.331,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1500,0.500,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.150,0.840,8.526,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1600,0.600,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.140,0.860,8.720,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1700,0.700,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.130,0.880,8.914,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1800,0.800,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.120,0.820,8.298,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
1900,0.900,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.110,0.840,8.492,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2000,1.000,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.100,0.860,8.686,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2100,1.100,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.090,0.880,8.879,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
2200,1.200,battery_undervoltage_run_003,porter_dev,power_expert,1,battery_undervoltage,power,3,10.080,0.820,8.266,ai_ml/datasets/power_expert/raw/battery_undervoltage_run_003.csv
