timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,rpm_left,rpm_right,encoder_count_left,encoder_count_right,current_left_a,current_right_a,vibration_rms,vibration_peak,motor_temp_left_c,motor_temp_right_c,telemetry_valid,telemetry_age_ms
1000,0.000,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,118,116,910,900,2000,1980,1.100,1.000,0.650,1.755,34.00,34.40,1,8
1100,0.100,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,119,117,914,904,2012,1992,1.120,1.020,0.680,1.836,34.10,34.50,1,8
1200,0.200,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,120,118,918,908,2024,2004,1.140,1.040,0.710,1.917,34.20,34.60,1,8
1300,0.300,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,121,119,922,912,2036,2016,1.160,1.060,0.740,1.998,34.30,34.70,1,8
1400,0.400,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,122,120,926,916,2048,2028,1.100,1.000,0.650,1.755,34.40,34.80,1,8
1500,0.500,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,118,116,930,920,2060,2040,1.120,1.020,0.680,1.836,34.50,34.90,1,8
1600,0.600,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,119,117,934,924,2072,2052,1.140,1.040,0.710,1.917,34.60,35.00,1,8
1700,0.700,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,120,118,938,928,2084,2064,1.160,1.060,0.740,1.998,34.70,35.10,1,8
1800,0.800,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,121,119,942,932,2096,2076,1.100,1.000,0.650,1.755,34.80,35.20,1,8
1900,0.900,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,122,120,946,936,2108,2088,1.120,1.020,0.680,1.836,34.90,35.30,1,8
2000,1.000,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,118,116,950,940,2120,2100,1.140,1.040,0.710,1.917,35.00,35.40,1,8
2100,1.100,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,119,117,954,944,2132,2112,1.160,1.060,0.740,1.998,35.10,35.50,1,8
2200,1.200,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,120,118,958,948,2144,2124,1.100,1.000,0.650,1.755,35.20,35.60,1,8
2300,1.300,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,121,119,962,952,2156,2136,1.120,1.020,0.680,1.836,35.30,35.70,1,8
2400,1.400,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,122,120,966,956,2168,2148,1.140,1.040,0.710,1.917,35.40,35.80,1,8
2500,1.500,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,118,116,970,960,2180,2160,1.160,1.060,0.740,1.998,35.50,35.90,1,8
2600,1.600,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,119,117,974,964,2192,2172,1.100,1.000,0.650,1.755,35.60,36.00,1,8
2700,1.700,abnormal_vibration_run_005,porter_dev,motor_expert,1,abnormal_vibration,motor,2,120,118,978,968,2204,2184,1.120,1.020,0.680,1.836,35.70,36.10,1,8
