timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,rpm_left,rpm_right,encoder_count_left,encoder_count_right,current_left_a,current_right_a,vibration_rms,vibration_peak,motor_temp_left_c,motor_temp_right_c,telemetry_valid,telemetry_age_ms
1000,0.000,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,118,116,910,900,2000,1980,1.100,1.000,0.350,0.945,48.00,48.40,1,8
1100,0.100,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,119,117,914,904,2012,1992,1.120,1.020,0.360,0.972,48.20,48.60,1,8
1200,0.200,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,120,118,918,908,2024,2004,1.140,1.040,0.370,0.999,48.40,48.80,1,8
1300,0.300,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,121,119,922,912,2036,2016,1.160,1.060,0.380,1.026,48.60,49.00,1,8
1400,0.400,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,122,120,926,916,2048,2028,1.100,1.000,0.390,1.053,48.80,49.20,1,8
1500,0.500,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,118,116,930,920,2060,2040,1.120,1.020,0.400,1.080,49.00,49.40,1,8
1600,0.600,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,119,117,934,924,2072,2052,1.140,1.040,0.410,1.107,49.20,49.60,1,8
1700,0.700,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,120,118,938,928,2084,2064,1.160,1.060,0.420,1.134,49.40,49.80,1,8
1800,0.800,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,121,119,942,932,2096,2076,1.100,1.000,0.430,1.161,49.60,50.00,1,8
1900,0.900,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,122,120,946,936,2108,2088,1.120,1.020,0.440,1.188,49.80,50.20,1,8
2000,1.000,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,118,116,950,940,2120,2100,1.140,1.040,0.450,1.215,50.00,50.40,1,8
2100,1.100,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,119,117,954,944,2132,2112,1.160,1.060,0.460,1.242,50.20,50.60,1,8
2200,1.200,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,120,118,958,948,2144,2124,1.100,1.000,0.470,1.269,50.40,50.80,1,8
2300,1.300,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,121,119,962,952,2156,2136,1.120,1.020,0.480,1.296,50.60,51.00,1,8
2400,1.400,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,122,120,966,956,2168,2148,1.140,1.040,0.490,1.323,50.80,51.20,1,8
2500,1.500,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,118,116,970,960,2180,2160,1.160,1.060,0.500,1.350,51.00,51.40,1,8
2600,1.600,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,119,117,974,964,2192,2172,1.100,1.000,0.510,1.377,51.20,51.60,1,8
2700,1.700,bearing_degradation_run_006,porter_dev,motor_expert,1,bearing_degradation,motor,3,120,118,978,968,2204,2184,1.120,1.020,0.520,1.404,51.40,51.80,1,8
