timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,rpm_left,rpm_right,encoder_count_left,encoder_count_right,current_left_a,current_right_a,vibration_rms,vibration_peak,motor_temp_left_c,motor_temp_right_c,telemetry_valid,telemetry_age_ms
1000,0.000,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,118,116,650,640,2000,1980,2.400,2.300,0.080,0.216,34.00,34.40,1,8
1100,0.100,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,119,117,650,640,2012,1992,2.400,2.300,0.085,0.230,34.10,34.50,1,8
1200,0.200,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,120,118,650,640,2024,2004,2.400,2.300,0.090,0.243,34.20,34.60,1,8
1300,0.300,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,121,119,650,640,2036,2016,2.400,2.300,0.080,0.216,34.30,34.70,1,8
1400,0.400,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,122,120,650,640,2048,2028,2.400,2.300,0.085,0.230,34.40,34.80,1,8
1500,0.500,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,118,116,650,640,2060,2040,2.400,2.300,0.090,0.243,34.50,34.90,1,8
1600,0.600,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,119,117,650,640,2072,2052,2.400,2.300,0.080,0.216,34.60,35.00,1,8
1700,0.700,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,120,118,650,640,2084,2064,2.400,2.300,0.085,0.230,34.70,35.10,1,8
1800,0.800,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,121,119,650,640,2096,2076,2.400,2.300,0.090,0.243,34.80,35.20,1,8
1900,0.900,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,122,120,650,640,2108,2088,2.400,2.300,0.080,0.216,34.90,35.30,1,8
2000,1.000,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,118,116,650,640,2120,2100,2.400,2.300,0.085,0.230,35.00,35.40,1,8
2100,1.100,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,119,117,650,640,2132,2112,2.400,2.300,0.090,0.243,35.10,35.50,1,8
2200,1.200,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,120,118,650,640,2144,2124,2.400,2.300,0.080,0.216,35.20,35.60,1,8
2300,1.300,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,121,119,650,640,2156,2136,2.400,2.300,0.085,0.230,35.30,35.70,1,8
2400,1.400,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,122,120,650,640,2168,2148,2.400,2.300,0.090,0.243,35.40,35.80,1,8
2500,1.500,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,118,116,650,640,2180,2160,2.400,2.300,0.080,0.216,35.50,35.90,1,8
2600,1.600,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,119,117,650,640,2192,2172,2.400,2.300,0.085,0.230,35.60,36.00,1,8
2700,1.700,excessive_load_run_003,porter_dev,motor_expert,1,excessive_load,motor,3,120,118,650,640,2204,2184,2.400,2.300,0.090,0.243,35.70,36.10,1,8
