timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,pwm_left,pwm_right,rpm_left,rpm_right,encoder_count_left,encoder_count_right,current_left_a,current_right_a,vibration_rms,vibration_peak,motor_temp_left_c,motor_temp_right_c,telemetry_valid,telemetry_age_ms
1000,0.000,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,118,116,910,0,2000,1980,1.100,0.050,0.080,0.216,34.00,34.40,0,220
1100,0.100,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,119,117,914,0,2012,1992,1.120,0.050,0.085,0.230,34.10,34.50,0,220
1200,0.200,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,120,118,918,0,2024,2004,1.140,0.050,0.090,0.243,34.20,34.60,0,220
1300,0.300,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,121,119,922,0,2036,2016,1.160,0.050,0.080,0.216,34.30,34.70,0,220
1400,0.400,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,122,120,926,0,2048,2028,1.100,0.050,0.085,0.230,34.40,34.80,0,220
1500,0.500,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,118,116,930,0,2060,2040,1.120,0.050,0.090,0.243,34.50,34.90,0,220
1600,0.600,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,119,117,934,0,2072,2052,1.140,0.050,0.080,0.216,34.60,35.00,0,220
1700,0.700,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,120,118,938,0,2084,2064,1.160,0.050,0.085,0.230,34.70,35.10,0,220
1800,0.800,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,121,119,942,0,2096,2076,1.100,0.050,0.090,0.243,34.80,35.20,0,220
1900,0.900,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,122,120,946,0,2108,2088,1.120,0.050,0.080,0.216,34.90,35.30,0,220
2000,1.000,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,118,116,950,0,2120,2100,1.140,0.050,0.085,0.230,35.00,35.40,0,220
2100,1.100,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,119,117,954,0,2132,2112,1.160,0.050,0.090,0.243,35.10,35.50,0,220
2200,1.200,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,120,118,958,0,2144,2124,1.100,0.050,0.080,0.216,35.20,35.60,0,220
2300,1.300,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,121,119,962,0,2156,2136,1.120,0.050,0.085,0.230,35.30,35.70,0,220
2400,1.400,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,122,120,966,0,2168,2148,1.140,0.050,0.090,0.243,35.40,35.80,0,220
2500,1.500,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,118,116,970,0,2180,2160,1.160,0.050,0.080,0.216,35.50,35.90,0,220
2600,1.600,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,119,117,974,0,2192,2172,1.100,0.050,0.085,0.230,35.60,36.00,0,220
2700,1.700,motor_disconnected_run_004,porter_dev,motor_expert,1,motor_disconnected,motor,1,120,118,978,0,2204,2184,1.120,0.050,0.090,0.243,35.70,36.10,0,220
