timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w
1000,0.000,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.400,0.820,9.348
1100,0.100,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.390,0.840,9.568
1200,0.200,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.380,0.860,9.787
1300,0.300,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.370,0.880,10.006
1400,0.400,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.360,0.820,9.315
1500,0.500,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.350,0.840,9.534
1600,0.600,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.340,0.860,9.752
1700,0.700,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.330,0.880,9.970
1800,0.800,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.320,0.820,9.282
1900,0.900,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.310,0.840,9.500
2000,1.000,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.300,0.860,9.718
2100,1.100,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.290,0.880,9.935
2200,1.200,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.280,0.820,9.250
2300,1.300,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.270,0.840,9.467
2400,1.400,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.260,0.860,9.684
2500,1.500,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.250,0.880,9.900
2600,1.600,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.240,0.820,9.217
2700,1.700,battery_voltage_sag_run_002,porter_dev,power_expert,1,battery_voltage_sag,power,2,11.230,0.840,9.433
