timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w
1000,0.000,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.600,1.970,24.822
1100,0.100,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.590,1.990,25.054
1200,0.200,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.580,2.010,25.286
1300,0.300,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.570,2.030,25.517
1400,0.400,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.560,1.970,24.743
1500,0.500,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.550,1.990,24.974
1600,0.600,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.540,2.010,25.205
1700,0.700,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.530,2.030,25.436
1800,0.800,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.520,1.970,24.664
1900,0.900,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.510,1.990,24.895
2000,1.000,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.500,2.010,25.125
2100,1.100,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.490,2.030,25.355
2200,1.200,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.480,1.970,24.586
2300,1.300,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.470,1.990,24.815
2400,1.400,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.460,2.010,25.045
2500,1.500,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.450,2.030,25.273
2600,1.600,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.440,1.970,24.507
2700,1.700,excessive_system_load_run_006,porter_dev,power_expert,1,excessive_system_load,power,3,12.430,1.990,24.736
