timestamp_ms,elapsed_s,run_id,robot_id,expert_name,fault_active,fault_label,fault_subsystem,severity,battery_voltage_v,battery_current_a,battery_power_w
1000,0.000,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.600,0.820,10.332
1100,0.100,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.590,0.840,10.576
1200,0.200,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.580,0.860,10.819
1300,0.300,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.570,0.880,11.062
1400,0.400,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.560,0.820,10.299
1500,0.500,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.550,0.840,10.542
1600,0.600,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.540,0.860,10.784
1700,0.700,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.530,0.880,11.026
1800,0.800,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.520,0.820,10.266
1900,0.900,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.510,0.840,10.508
2000,1.000,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.500,0.860,10.750
2100,1.100,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.490,0.880,10.991
2200,1.200,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.480,0.820,10.234
2300,1.300,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.470,0.840,10.475
2400,1.400,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.460,0.860,10.716
2500,1.500,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.450,0.880,10.956
2600,1.600,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.440,0.820,10.201
2700,1.700,healthy_run_001,porter_dev,power_expert,0,healthy,power,0,12.430,0.840,10.441
